ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
15|6|5482|146|195715|201197|43135|58771|55149|12343|8950|7209|10012
30|21|5059|36|163902|168961|35119|60143|48427|7226|6331|4884|1736
16|5|12123|68|129833|141956|40432|46305|24976|6395|4712|2915|4030
5|1|11067|88|141665|152732|55085|57529|12826|5576|3630|2459|4472
1|2|14691|315|164833|179524|51578|51317|19572|9837|6366|5320|20528
17|4|7173|95|147812|154985|25851|46598|39028|12136|10989|8744|4371
14|15|6153|70|159944|166097|53400|61462|13674|9826|6693|10113|4706
15|16|4983|125|167533|172516|24389|59904|46667|12858|9476|6825|7289
25|6|11013|82|124328|135341|40410|57257|11210|3016|2339|1540|8474
8|4|10757|67|90075|100832|20684|31856|15412|6877|5942|3253|5984
9|16|6681|192|185491|192172|38835|32123|69819|10527|15790|11470|6735
10|1|12697|87|135195|147892|37172|67548|6791|3586|15185|1599|3227
17|2|7772|213|166874|174646|33870|43654|49364|13821|8728|6675|10549
12|4|5712|107|143275|148987|12882|40386|44932|13640|8640|18394|4294
29|1|16829|92|157078|173907|43093|48664|29717|7687|8096|5537|14192
23|2|5255|64|150584|155839|21222|56856|35258|9999|10770|4713|11702
15|38|6441|806|165857|172298|18594|47110|46618|10859|8519|25552|7799
20|3|11748|493|137612|149360|24856|49261|38122|5651|7781|7458|3990
14|6|9279|230|195137|204416|73646|64351|12978|12224|4195|22370|5143
27|6|6675|109|195624|202299|10354|67223|83175|9038|11667|10766|3292
15|33|7058|177|198109|205167|27404|72277|45549|12540|10051|22598|7513
15|20|3523|167|134840|138363|17910|44336|43657|8896|7671|8404|3799
11|7|6379|62|158719|165098|66466|61049|10422|13880|1733|1331|3776
22|1|15518|56|187441|202959|56505|86287|14911|11044|4012|6902|7724
10|2|15960|81|168932|184892|52139|74151|21434|5888|6442|3626|5171
1|1|12054|114|138830|150884|39408|47803|9884|7888|5712|2342|25679
14|13|6513|160|166252|172765|49023|57581|11932|11726|4525|26143|5162
30|5|4589|96|147092|151681|44463|56077|21732|7687|4320|2965|9752
12|7|12434|95|146888|159322|13160|45003|61092|5464|7544|11019|3511
9|27|5188|186|153218|158406|16777|31568|61735|10678|14649|10213|7412
8|9|14913|131|134065|148978|33999|77589|7036|3325|2608|1088|8289
28|4|11374|66|147127|158501|56750|54825|13870|5815|3913|2994|8894
13|5|12997|61|171802|184799|27116|67220|44616|11623|7256|5454|8456
15|24|3353|154|123757|127110|25002|47886|27521|9465|5898|4306|3525
15|11|4572|153|157344|161916|26866|55881|42009|11849|7906|6550|6130
