ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
13|4|4277|30|144597|148874|29713|49808|32041|2286|3111|1587|6269|9686|7622|1786|485|173
20|2|4211|46|132314|136525|22387|46123|37707|1690|4027|8750|663|4621|4347|1256|525|172
11|6|4554|359|189202|193756|85631|59436|11665|3702|1451|972|4696|18223|2430|441|126|70
16|10|4642|117|154752|159394|39513|53019|27377|2420|2591|2756|4256|14273|6545|1174|479|232
29|2|3102|31|179781|182883|32902|44578|45723|1788|7534|4012|5319|13983|18917|3661|868|465
27|4|3307|29|176836|180143|8676|35452|80678|1059|3851|4314|1210|9653|24852|5450|1364|248
18|2|3300|45|166988|170288|26241|55343|36256|1921|5080|4133|4848|14318|15407|2139|764|493
15|29|2609|76|134176|136785|15589|37999|40133|1260|2740|3630|2987|12671|13833|2116|859|283
27|2|4618|16|157345|161963|6418|47754|69685|842|1753|1254|802|8463|13482|5953|826|97
15|2|3616|66|175646|179262|34783|61399|34249|1709|2809|5825|3943|17035|11214|1653|693|268
17|1|3552|86|186757|190309|46960|43984|49636|2495|5124|3042|3954|12773|14724|2747|855|377
15|7|3363|172|200220|203583|46155|51757|47509|1777|5588|3064|5473|17881|16854|2883|733|374
9|9|3247|117|168447|171694|26029|36230|50332|1494|4599|3626|3451|14996|22861|3194|1022|496
28|6|3423|26|165072|168495|68388|60778|13778|1453|1690|1188|2434|10065|4024|879|242|127
30|21|4312|21|166171|170483|39881|51120|45027|1694|2289|1987|1399|9781|9707|2596|568|101
8|7|4045|71|151726|155771|30606|63450|21671|2875|3604|2145|4574|14406|5971|1534|566|253
29|1|4588|34|168856|173444|36977|48756|34311|2923|4465|2974|5922|16807|11985|2638|766|298
25|1|4512|15|130958|135470|42941|57771|14355|1225|1021|801|1641|8032|2274|626|197|59
27|5|4460|7|188414|192874|16244|50150|86468|830|3225|2364|884|7366|14018|5889|822|147
16|2|4183|46|131854|136037|25448|42479|33528|2392|2425|1403|2910|10420|7351|2815|502|135
30|15|4522|36|181271|185793|60562|42713|40612|2026|3219|2427|3168|11116|11739|2683|700|270
20|6|5360|65|123033|128393|12933|31130|44147|2583|5751|8465|1099|5017|8037|2895|690|221
30|4|2994|45|170793|173787|83149|34545|25424|1128|2248|2551|2300|9269|8271|1145|494|224
20|4|5170|49|123687|128857|26685|34535|35560|2607|4574|2949|2401|5279|6440|1949|467|192
32|1|3911|35|157990|161901|26509|58842|16133|5179|16355|1249|5547|18322|6318|2943|248|310
28|3|5240|302|218571|223811|92938|67221|26375|2057|3208|1989|4434|10740|7169|1487|432|219
19|3|2783|54|181797|184580|76456|44575|25090|1604|7926|1674|5543|9947|6838|1505|308|277
15|23|6647|34|182228|188875|40210|77631|27964|2144|3957|1045|3446|17824|4617|2940|271|145
11|14|5307|23|137043|142350|50456|40946|18937|4536|1637|4347|3303|8462|3113|858|315|110
