ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PVEM|PANAL|PRI_PVEM|PRD_PT_MC
12|7|12434|95|146888|159322|13160|45003|5464|3511||79655
9|27|5188|186|153218|158406|16777|||7412|42246|86597
8|9|14913|131|134065|148978|33999|77589|3325|8289||10732
28|4|11374|66|147127|158501|56750|54825|5815|8894||20777
13|5|12997|61|171802|184799|27116|67220|11623|8456||57326
15|24|3353|154|123757|127110|25002|||3525|57351|37725
15|11|4572|153|157344|161916|26866|||6130|67730|56465
18|2|12588|116|154317|166905|27111|67331|5420|12781||41558
12|3|11666|28|139464|151130|6473|53874|2696|11913||64480
21|15|4930|95|139891|144821|37956|||13513|50121|38206
21|11|6364|182|178140|184504|67037|||8150|49782|52989
15|18|6250|122|196728|202978|53854|||6229|82940|53583
12|6|13116|77|153131|166247|13592|57883|6463|3326||71790
14|14|6627|117|162925|169552|50232|||4339|66710|41527
29|2|13461|124|167140|180601|37219|47739|10780|11051||60227
7|6|12287|136|164521|176808|34106|||5584|84173|40522
28|8|7888|97|155866|163754|73170|46489|4552|4750||26808
28|5|10950|74|168636|179586|52374|69934|4686|14476||27092
30|19|5650|56|145618|151268|51083|||3390|56882|34207
21|6|6147|176|172642|178789|51761|||11446|55169|54090
14|2|6356|89|158803|165159|65136|||4673|71906|16999
21|2|6436|62|143217|149653|33217|||12488|66144|31306
8|8|15666|164|159646|175312|55186|62921|8346|9902||23127
15|12|6910|712|205172|212082|35964|||9101|81156|78239
26|6|12642|82|156166|168808|48111|74829|2256|2730||28158
21|8|4937|55|125386|130323|35678|||5512|43379|40762
