ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL
18|2|12060|65|155721|167781|44228|54357|24419|4132|7904|5916|14700
12|4|14338|80|134841|149179|12928|36265|49281|4997|9209|18058|4023
15|19|4666|115|156315|160981|35349|48572|42033|11159|8389|5852|4846
14|8|7447|144|166787|174234|56971|56644|12038|10086|4130|22657|4117
24|6|15637|362|145716|161353|61514|31468|22726|10329|5779|5292|8246
11|9|15157|124|153237|168394|69681|59847|9409|5665|2404|2124|3983
30|16|6549|127|180912|187461|74294|51433|31008|8313|6021|5757|3959
6|2|4076|49|128990|133066|48961|55434|10350|7282|3508|1790|1616
12|6|13025|140|154504|167529|13306|58401|51168|6167|10569|11851|2902
7|2|9165|80|150670|159835|14389|55362|33552|28698|7019|1511|10059
25|2|11527|53|160230|171757|61159|43848|18436|5044|3745|2935|25010
16|1|10332|99|114986|125318|17688|42313|38604|4252|5686|3561|2783
30|3|4505|72|144464|148969|50900|56388|18399|9195|3805|2572|3133
24|3|16997|100|135316|152313|51376|55908|8837|4765|7436|2765|4129
27|4|4856|77|174207|179063|7345|50814|81602|7563|13302|11390|2114
9|5|6377|180|163022|169399|46760|28774|53395|7592|13689|8576|4056
32|2|5726|82|152038|157764|37684|64042|23648|12774|6247|2360|5201
21|15|5506|107|140349|145855|39958|42639|23406|10681|11250|5548|6760
21|14|5300|47|121498|126798|20983|44496|26307|9450|10202|5414|4599
9|20|6162|132|177948|184110|32650|33266|64098|10491|19142|11829|6340
1|3|11557|178|145382|156939|62656|43277|13465|6092|3692|3189|12833
15|4|5478|90|193902|199380|41792|62780|47481|14055|9566|10908|7230
2|6|13969|73|144294|158263|47371|40444|30385|6629|7177|6797|5418
5|1|11033|64|142291|153324|56175|56985|13055|5570|3764|2480|4198
29|2|13008|87|167686|180694|43929|42125|43475|6792|13972|8553|8753
8|8|15365|124|160222|175587|55958|60506|15248|9782|5521|2928|10155
11|12|15973|112|151008|166981|69990|47749|13533|8027|3232|2879|5486
9|25|5619|167|162497|168116|22452|26224|67972|10181|18203|11925|5373
23|1|7149|153|236523|243672|45876|77712|65943|19993|12253|8763|5830
11|0|213418|1352|2087535|2300953|955749|681429|169364|133127|38501|34192|73821
7|0|130276|1127|1889707|2019983|294502|529108|344867|504806|89821|41792|83684
6|0|10178|171|289631|299809|103875|124188|24991|15895|10952|4551|5008
9|0|167755|4738|4655650|4823405|924732|871214|1723614|271732|424880|290418|144322
30|5|4798|86|147728|152526|50884|52955|23667|7871|4605|3241|4419
20|11|10165|47|143335|153500|20892|47619|55514|3433|8282|5755|1793
15|25|3889|61|141004|144893|16364|51312|41403|12331|7966|6746|4821
15|11|4465|165|156147|160612|25949|53430|43528|12403|8353|6832|5487
19|6|8340|121|139708|148048|65356|45223|11961|3041|6111|2374|5521
14|6|8672|200|195370|204042|69983|69467|12578|12693|4146|21884|4419
19|3|10192|78|173037|183229|69485|66124|15140|4226|8103|2645|7236
13|5|13062|88|172007|185069|37873|65424|39948|9522|7087|5198|6867
9|2|6306|188|173790|180096|46122|33962|56552|9555|13426|9107|4878
20|1|9525|58|142743|152268|44288|43021|32224|3710|7193|9433|2816
1|2|14553|251|165333|179886|54480|50217|18402|8508|6074|4972|22429
30|17|6069|79|189881|195950|85508|59649|22560|9803|5141|3800|3341
30|11|5504|122|176161|181665|32465|58139|57849|9515|8531|6721|2819
14|15|6631|66|159794|166425|52236|61270|13845|10679|6380|10693|4625
19|0|120661|995|1882937|2003598|725086|742444|150821|44922|93269|28696|96704
12|0|110342|583|1286653|1396995|119106|429201|497657|47514|80078|86016|26498
16|0|164006|1136|1475335|1639361|360556|519973|370859|78194|61683|39409|43545
2|0|103536|718|1141398|1244934|390622|326336|220199|49469|61282|45049|47723
16|6|15655|41|120078|135733|30223|42919|27343|6480|5032|3333|4707
14|16|6534|114|173204|179738|46328|63112|11787|13847|4600|28456|4960
30|2|5895|67|170021|175916|65326|65534|23252|7718|4423|1429|2272
11|5|20373|112|176380|196753|90254|58287|7831|11158|1971|1742|5025
27|5|5926|78|185389|191315|15002|64536|81776|6071|9635|6219|2072
16|10|18421|242|139417|157838|46600|49399|21890|8708|4382|3815|4381
30|6|4304|36|139654|143958|47019|47066|25228|7460|5056|5092|2697
19|7|7892|69|120349|128241|47622|45525|11068|2497|6082|2197|5289
25|7|13187|74|132629|145816|23456|50797|18060|4202|6112|4123|25805
9|13|5523|140|155272|160795|26064|30893|60090|9304|13972|9709|5100
6|1|6102|122|160641|166743|54914|68754|14642|8613|7444|2760|3392
21|12|6351|184|178983|185334|64703|39256|33303|10503|13694|8095|9245
9|10|7712|214|204725|212437|64695|41847|60266|10519|12693|9324|5167
16|11|13489|95|122511|136000|21518|40362|41590|6254|5475|3633|3584
15|38|5271|425|167051|172322|18081|51487|45730|12260|8628|24572|5868
15|12|6769|182|204693|211462|33870|66718|59764|15893|9591|11076|7599
15|8|3685|87|134909|138594|21809|47187|37241|10438|6607|6602|4938
15|39|5024|110|165590|170614|14623|58690|53358|13793|8601|10401|6014
17|4|11191|115|144432|155623|27925|44377|38295|10694|10696|8590|3740
9|15|9666|276|231659|241325|88085|42942|60554|10178|15289|9434|4901
28|4|11774|72|149147|160921|58284|49813|15964|7597|4312|3263|9842
4|0|36084|123|342654|378738|110393|138867|42376|6675|12275|16008|15937
31|0|66747|468|981756|1048503|426157|405488|74952|26757|16620|11204|20110
22|0|64125|399|787182|851307|309514|293925|84657|30712|21970|25303|20702
23|0|17865|438|516569|534434|104821|168313|140452|39456|29082|18159|15848
20|0|110755|1246|1480258|1591241|338642|440892|450577|50600|87617|79904|31008
1|1|11845|87|139525|151370|42179|46561|9354|7165|4934|2254|26991
21|5|5376|68|138503|143879|35323|45855|20998|12183|10113|5069|8894
26|4|11918|40|150477|162395|48289|54210|25524|3214|9064|5433|4703
15|16|5000|141|167454|172454|24476|60223|46168|13794|9619|6961|6072
25|4|9839|48|116621|126460|19244|43245|17224|2977|2355|1802|29726
7|4|11199|91|159215|170414|30127|42341|24048|41600|6153|3441|11414
30|8|6136|89|193905|200041|68984|60237|37183|9875|7876|5938|3723
27|6|6484|76|196422|202906|10102|67653|84531|9101|11893|10770|2296
26|1|9439|40|138889|148328|62856|50386|14236|2775|4146|2376|2074
17|2|13773|239|160743|174516|35995|43029|48068|11207|8250|6415|7540
25|3|13214|47|139392|152606|35190|55462|15723|3420|3966|2929|22655
8|9|15363|111|133759|149122|34003|79145|7208|3767|2326|1138|6061
15|20|3584|133|135630|139214|18731|41150|46081|8960|8045|8726|3804
26|6|12302|85|155450|167752|39403|74126|25798|2214|7025|4448|2351
32|1|5078|56|155141|160219|22945|64389|17798|16241|24758|3021|5933
4|1|17566|68|182316|199882|53634|77861|20832|3582|5753|9569|11017
14|3|8064|116|163221|171285|65270|66137|4533|9908|1540|12021|3696
9|4|5309|132|160944|166253|24183|26351|64341|9462|19321|12095|5059
7|6|12576|128|164167|176743|30216|43678|29765|43808|6969|3996|5607
7|9|12719|249|155075|167794|23961|32402|38328|37893|9111|6323|6808
2|2|11938|129|129166|141104|56073|38621|16986|4582|3392|3616|5767
25|6|10913|79|126123|137036|35840|49543|11326|2890|2443|1599|22403
13|0|86303|502|1131195|1217498|287814|436977|223732|38186|49670|28819|65495
9|12|6387|183|171081|177468|34630|36727|58362|11594|14228|10380|4977
29|3|13727|50|150744|164471|44134|38019|36349|4847|11039|8302|8004
29|0|43297|210|474343|517640|141268|122987|110220|18829|33587|22512|24730
14|0|133400|2556|3276373|3409773|991176|1186540|250724|223713|86709|433092|101863
28|2|11426|119|162218|173644|62694|50008|22386|6948|6060|4192|9811
14|5|6545|112|175059|181604|47099|58745|18748|9253|5272|29930|5900
8|1|17161|166|157922|175083|35466|58711|27972|12357|8633|5700|8917
11|8|13161|62|172132|185293|81742|50911|13460|11071|3799|3046|8041
