ID_ESTADO|ID_DISTRITO|TIPO_CANDIDATURA|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
17|4|4|11191|115|144432|155623|27925|44377|34897|10694|7459|5954|3740||6467|1841|642|321
17|4|5|11481|117|146038|157519|28344|44731|38855|10766|10767|8654|3804|||||
17|5|4|12408|102|146251|158659|32673|37255|35912|10943|8171|5089|6816||6502|1902|592|294
18|1|5|10384|25|125816|136200|30396|55962|22363|2702|5296|2973|6099|||||
18|2|5|12318|68|157741|170059|44913|54924|24867|4186|7959|5992|14832|||||
18|3|4|13278|64|148759|162037|44720|62506|15442|4274|5026|1982|7259||5242|1754|267|223
19|1|4|9065|76|161772|170837|79373|50834|10534|4125|5085|2369|6292||2185|648|113|138
19|2|4|10139|60|169037|179176|53417|79066|12302|5387|5451|1411|8425||2453|833|91|141
19|3|5|10260|79|173679|183939|69795|66204|15325|4240|8123|2661|7252|||||
19|4|5|7963|71|156240|164203|79788|42950|13386|3842|6655|2246|7302|||||
