ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
30|16|6286|203|179832|186118|66891|50684|28492|3553|3207|4101|4261|9344|6752|1636|499|209
32|1|4885|44|154842|159727|22075|62017|12334|7936|18901|944|6165|16495|4651|2852|155|273
11|3|8531|131|187692|196223|84790|59963|7961|9301|1582|1325|6023|15194|996|276|73|77
13|2|11492|79|151473|162965|22418|58751|33706|6223|8504|1780|10834||5932|2688|376|182
27|6|6675|109|195624|202299|10354|61671|74399|3486|3311|4439|3292|11104|17312|5036|974|137
7|5|11309|104|155642|166951|18948|54333|28470|30217|3210|1900|4514|7974|3915|1708|246|103
13|6|11702|124|173697|185399|53682|56040|27223|6373|3920|2897|13775||7289|1707|396|271
16|9|14498|115|129922|144420|34530|44110|27792|7788|3059|1492|4112||4423|2055|300|146
15|20|3523|167|134840|138363|17910|39055|39265|3616|3480|4765|3799|10561|9566|1756|650|250
7|10|14569|45|148369|162938|30008|35477|18591|47536|3229|1426|7478||2803|1517|172|87
25|7|13314|100|132268|145582|27593|61849|13796|4792|2231|1526|15572||3691|784|222|112
14|10|8652|226|174643|183295|66337|43100|10829|6270|2647|23852|4377|11266|4278|432|537|492
27|1|5625|37|156863|162488|15094|58145|52246|2219|3070|4700|1386|7226|8688|3139|771|142
18|1|9965|24|123931|133896|21252|59537|25749|3065|3105|1360|2561||5106|1694|343|135
24|2|10522|272|150172|160694|43323|39317|24148|11375|4508|2966|10615|7886|3521|1616|287|338
1|3|12034|209|144176|156210|57508|45599|12902|8096|2571|2272|11576||2562|593|160|128
15|14|4871|122|166300|171171|47194|43929|32195|4431|4205|2923|5914|12936|9632|2063|529|227
30|9|6475|59|168757|175232|56979|57248|24285|3666|3442|1916|3788|10213|5095|1573|351|142
9|26|7715|441|194798|202513|50476|36365|53659|5675|9195|4423|5758|8636|14880|4129|681|480
18|3|13329|78|148139|161468|38062|66625|17678|4388|6037|2327|5072||5494|1861|274|243
19|10|5063|122|136662|141725|56694|45686|11442|4407|3437|1547|4449|6032|1998|635|90|123
7|9|13002|228|153926|166928|21579|20627|35950|24487|4810|3112|15136|15665|8975|2706|442|209
9|25|5726|200|161827|167553|22124|22847|58323|6215|9009|4821|5666|7468|19002|4661|780|711
9|8|6343|210|185318|191661|37122|34388|58120|6059|7911|5235|5257|10128|16470|3214|775|429
