ID_ESTADO|ID_DISTRITO|NUMERO_VOTOS_NULOS|NUM_VOTOS_CAN_NREG|NUMERO_VOTOS_VALIDOS|TOTAL_VOTOS|PAN|PRI|PRD|PVEM|PT|MC|PANAL|PRI_PVEM|PRD_PT_MC|PRD_PT|PRD_MC|PT_MC
20|4|10055|68|117875|127930|30244|32728|31569|4538|5402|3019|3839||4248|1660|338|222
28|6|10359|39|155224|165583|63752|59710|10481|5110|1652|1094|10314||2133|687|155|97
32|0|23403|369|632107|655510|112367|241223|84697|31504|43485|5905|24575|60202|16945|9176|885|774
26|7|10826|47|150735|161561|59341|53905|23991|1705|2562|1237|2258||3428|1907|229|125
14|7|5922|110|158844|164766|38936|55608|9630|6918|3755|19764|5460|13145|4080|506|458|474
19|2|10139|60|169037|179176|53417|79066|12302|5387|5451|1411|8425||2453|833|91|141
14|1|5901|68|167559|173460|48547|64044|14988|4561|4626|13430|5966|8327|1405|396|265|936
3|1|9331|60|106619|115950|38998|41766|11143|1667|2784|1969|2583||4094|1189|221|145
14|18|7235|57|176517|183752|59977|58664|14520|4718|1933|17376|9109|6931|1979|473|416|364
30|7|5347|64|152249|157596|56560|47788|18646|4016|2513|1571|4883|10061|4461|1315|275|96
2|8|14145|94|168890|183035|51768|46425|34350|7897|5408|5009|6425||8241|2276|723|274
13|6|11700|144|175470|187170|62605|55243|25973|5419|3856|2485|9824||7327|1790|478|326
27|0|33887|337|1049235|1083122|57554|340305|421525|15691|18363|19121|11555|49898|78938|30315|4811|822
5|0|82843|587|1094348|1177191|425569|410774|113738|37271|23401|12075|39170||22908|6519|1357|979
15|21|4447|130|147030|151477|45914|40993|26690|4376|3256|2090|4175|11506|5752|1588|365|195
9|18|4861|156|152307|157168|20171|25272|52977|5846|7412|4479|5246|8484|17482|3639|748|395
8|0|119225|946|1207844|1327069|365278|491850|132916|63799|29597|15968|63160||31307|9313|2266|1444
24|2|17394|184|142913|160307|45380|41257|22804|11994|4723|3060|7998||3305|1568|299|341
3|0|20230|153|229767|249997|81874|88216|25878|5069|5854|4559|5821||8896|2594|519|334
18|0|35550|152|429125|464675|119006|172399|56099|11066|12444|6260|28012||17271|4781|989|646
26|0|71623|455|1019257|1090880|381405|408175|121208|16467|27439|14723|17894||20925|7630|1684|1252
13|3|12198|48|166133|178331|34245|66823|30232|4495|5905|1806|13472||6214|2365|351|177
